Datum,Změna nevyjíždějících klouzavý průměr 30,Změna Google obytné budovy klouzavý průměr 30
9. 7. 2020,-0.08,0
10. 7. 2020,-0.08,0
11. 7. 2020,-0.08,-0.01
12. 7. 2020,-0.08,-0.01
13. 7. 2020,-0.07,-0.01
14. 7. 2020,-0.07,0
15. 7. 2020,-0.06,0
16. 7. 2020,-0.06,0
17. 7. 2020,-0.03,-0.01
18. 7. 2020,-0.04,-0.01
19. 7. 2020,-0.03,0
20. 7. 2020,-0.02,0
21. 7. 2020,-0.03,0
22. 7. 2020,-0.02,0
23. 7. 2020,-0.02,0
24. 7. 2020,-0.03,-0.01
25. 7. 2020,-0.02,-0.01
26. 7. 2020,-0.01,-0.01
27. 7. 2020,0.01,-0.01
28. 7. 2020,0.01,-0.01
29. 7. 2020,0.01,-0.01
30. 7. 2020,0,-0.01
31. 7. 2020,-0.01,-0.01
1. 8. 2020,-0.02,-0.01
2. 8. 2020,-0.02,-0.01
3. 8. 2020,-0.02,-0.01
4. 8. 2020,-0.02,-0.01
5. 8. 2020,0.01,-0.01
6. 8. 2020,0.01,-0.01
7. 8. 2020,0,-0.01
8. 8. 2020,0.01,-0.01
9. 8. 2020,0.01,-0.01
10. 8. 2020,0.01,-0.01
11. 8. 2020,0.01,-0.01
12. 8. 2020,0.01,-0.01
13. 8. 2020,0.01,-0.01
14. 8. 2020,0,-0.01
15. 8. 2020,-0.01,-0.01
16. 8. 2020,-0.01,-0.01
17. 8. 2020,-0.01,-0.01
18. 8. 2020,-0.02,-0.01
19. 8. 2020,-0.04,-0.01
20. 8. 2020,-0.07,-0.01
21. 8. 2020,-0.09,-0.01
22. 8. 2020,-0.1,-0.01
23. 8. 2020,-0.1,-0.01
24. 8. 2020,-0.1,-0.01
25. 8. 2020,-0.11,-0.01
26. 8. 2020,-0.11,-0.01
27. 8. 2020,-0.12,-0.01
28. 8. 2020,-0.13,-0.01
29. 8. 2020,-0.14,-0.02
30. 8. 2020,-0.14,-0.02
31. 8. 2020,-0.14,-0.01
1. 9. 2020,-0.15,-0.01
2. 9. 2020,-0.15,-0.02
3. 9. 2020,-0.15,-0.02
4. 9. 2020,-0.17,-0.02
5. 9. 2020,-0.18,-0.02
6. 9. 2020,-0.18,-0.02
7. 9. 2020,-0.18,-0.01
8. 9. 2020,-0.17,-0.01
9. 9. 2020,-0.17,-0.01
10. 9. 2020,-0.17,-0.01
11. 9. 2020,-0.17,-0.01
12. 9. 2020,-0.17,-0.01
13. 9. 2020,-0.14,0
14. 9. 2020,-0.14,0
15. 9. 2020,-0.14,0
16. 9. 2020,-0.14,0
17. 9. 2020,-0.14,0
